id;hoehe;breite;laenge;ort
1;3;202;50.7827;6.0941;Aachen
2;44;43.5;52.9335;8.237;Großenkneten
3;71;759;48.2156;8.9784;Albstadt-Badkap
4;73;340;48.6159;13.0506;Aldersbach-Kriestorf
5;78;65;52.4853;7.9126;Alfhausen
6;91;300;50.7446;9.345;Alsfeld-Eifa
7;102;32;53.8617;8.1266;Leuchtturm Alte Weser
8;125;756;47.8342;10.8667;Altenstadt
9;129;33;53.6893;13.242;Altentreptow
10;131;296;51.088;12.9328;Geringswalde-Altgeringswalde
11;142;510;48.406;11.3117;Altomünster-Maisbrunn
12;150;215;49.7273;8.1164;Alzey
13;151;383;49.4691;11.8546;Amberg-Unterammersricht
14;154;515;48.0197;12.2924;Amerang-Pfaffing
15;161;75;50.4237;7.4202;Andernach
16;164;54;53.0316;13.9907;Angermünde
17;167;9;53.8412;13.6846;Anklam
18;183;42;54.6792;13.4343;Arkona
19;191;220;49.9695;9.9113;Arnstein-Müdesheim
20;198;164;51.3745;11.292;Artern
21;202;110;49.9778;9.1114;Aschaffenburg
22;211;200;50.58;8.4685;Aßlar Klein-Altenstädten
23;217;672;47.8774;11.3642;Attenkam
24;222;387;50.5907;12.714;Aue
25;232;461.4;48.4254;10.942;Augsburg
26;257;240;48.727;8.2458;Baden-Baden-Geroldsau
27;259;273;47.8064;7.6387;Müllheim
28;282;240;49.8742;10.9206;Bamberg
29;294;110;52.3199;9.43;Barsinghausen-Hohenbostel
30;298;3;54.3406;12.7108;Barth
31;303;54.6;52.0614;13.4996;Baruth
32;314;232;51.1605;14.5037;Kubschütz, Kr. Bautzen
33;320;350;49.9667;11.5197;Heinersreuth-Vollhof
34;326;120;51.7204;8.0577;Beckum-Unterberg
35;330;450;49.5617;8.9673;Beerfelden
36;342;103.3;52.317;8.1693;Belm
37;348;127;50.4135;7.5886;Bendorf
38;368;70;52.8152;9.9248;Bergen
39;377;252;49.107;7.9967;Bergzabern, Bad
40;390;610;50.9837;8.3679;Berleburg, Bad-Stünzel
41;400;60;52.6309;13.5022;Berlin-Buch
42;403;51;52.4537;13.3017;Berlin-Dahlem (FU)
43;410;33;52.404;13.7309;Berlin-Kaniswall
44;420;60;52.5447;13.5598;Berlin-Marzahn
45;427;46;52.3807;13.5306;Berlin-Schönefeld
46;430;36;52.5644;13.3088;Berlin-Tegel
47;433;48;52.4675;13.4021;Berlin-Tempelhof
48;445;84;51.8218;11.7109;Bernburg/Saale (Nord)
49;450;120;49.9186;7.0664;Bernkastel-Kues
50;460;363;49.264;6.6868;Berus
51;480;296;50.9275;8.4935;Biedenkopf-Wallau
52;526;254;50.6738;11.2805;Blankenburg, Bad
53;535;417;50.0372;7.3079;Blankenrath
54;550;344;50.9041;11.7985;Bobeck
55;554;23;51.8293;6.5365;Bocholt-Liedern (Wasserwerk)
56;555;101;51.4789;7.2697;Bochum
57;591;45;53.3911;10.6878;Boizenburg
58;596;15;54.0028;11.1908;Boltenhagen
59;603;159;50.7349;7.1931;Bonn-Roleber
60;606;569;48.0791;10.1977;Boos
61;617;48;51.8728;6.8862;Borken in Westfalen
62;645;58;52.4036;7.9724;Bramsche
63;656;607;51.7234;10.6021;Braunlage
64;662;81.2;52.2914;10.4465;Braunschweig
65;691;4.1;53.045;8.7979;Bremen
66;701;7;53.5332;8.5761;Bremerhaven
67;704;10;53.4451;9.139;Bremervörde
68;710;181;49.025;8.6991;Bretten
69;722;1133.9;51.7986;10.6183;Brocken
70;755;340;49.5182;9.3213;Buchen, Kr. Neckar-Odenwald
71;757;445;47.9625;7.9983;Buchenbach
72;760;82;53.3635;9.9434;Rosengarten-Klecken
73;766;477;50.1746;7.0595;Büchel (Flugplatz)
74;769;68;52.2817;9.0889;Bückeburg
75;807;290;49.745;10.6434;Schlüsselfeld (Kläranlage)
76;817;293;51.0306;8.8146;Burgwald-Bottendorf
77;840;897;50.4313;12.6114;Carlsfeld
78;848;38;52.6146;10.0726;Celle (Stadt)
79;850;39;52.5959;10.0296;Celle
80;851;389;49.2504;12.604;Pemfling-Pitzling
81;853;418;50.7913;12.872;Chemnitz
82;856;551.2;47.8843;12.5404;Chieming
83;863;585;51.7904;10.347;Clausthal-Zellerfeld
84;867;344.5;50.3067;10.968;Lautertal-Oberlauter
85;880;69;51.776;14.3168;Cottbus
86;881;423;49.0985;10.0979;Crailsheim-Alexandersreut
87;891;5;53.8713;8.7058;Cuxhaven
88;896;170;51.0778;10.8619;Dachwig
89;917;162;49.8809;8.6779;Darmstadt
90;931;708;47.8007;9.4108;Deggenhausertal-Azenweiler
91;953;480.5;49.7619;7.0541;Deuselbach
92;954;0;54.1667;7.45;UFS Deutsche Bucht
93;963;39;52.5881;8.3424;Diepholz
94;970;405;49.4158;10.6734;Dietenhofen
95;979;314;50.7364;8.2672;Dillenburg
96;983;419;48.5562;10.5599;Dillingen/Donau-Fristingen
97;991;365;50.9117;13.7087;Dippoldiswalde-Reinberg
98;1001;96.8;51.6451;13.5747;Doberlug-Kirchhain
99;1048;227;51.128;13.7543;Dresden-Klotzsche
100;1050;114;51.0221;13.847;Dresden-Hosterwitz
101;1051;119;51.024;13.7737;Dresden-Strehlen
102;1052;80;52.2174;12.1641;Drewitz bei Burg
103;1072;107;49.4719;8.1929;Dürkheim, Bad
104;1078;36.6;51.296;6.7686;Düsseldorf
105;1093;131;49.46;8.9584;Eberbach (LUBW)
106;1103;592;48.1002;11.9872;Ebersberg-Halbing
107;1107;346;49.852;10.499;Ebrach
108;1130;17;54.6282;9.3648;Eggebek
109;1161;384;48.8777;11.2349;Eichstätt-Landershofen
110;1197;460;48.9895;10.1312;Ellwangen-Rindelbach
111;1200;3;54.0691;9.0106;Elpersbüttel
112;1207;560;50.2705;12.2742;Elster, Bad-Sohl
113;1214;440;48.2012;8.1089;Elzach-Fisnacht
114;1224;201;48.1378;7.8351;Emmendingen-Mundingen
115;1228;0;54.1651;6.346;UFS TW Ems
116;1246;104;51.8418;8.0607;Ennigerloh-Ostenfelde
117;1255;220;49.1664;8.8523;Eppingen-Elsenz
118;1262;445.5;48.3477;11.8133;München-Flughafen
119;1266;18;54.2992;9.3162;Erfde
120;1270;316;50.9829;10.9608;Erfurt-Weimar
121;1279;268;49.6497;11.0074;Möhrendorf-Kleinseebach
122;1297;156;51.2041;10.0138;Eschwege
123;1300;351;51.254;8.1565;Eslohe
124;1303;150;51.4041;6.9677;Essen-Bredeney
125;1327;147;50.7119;6.7905;Weilerswist-Lommersum
126;1332;472;48.4832;12.724;Falkenberg,Kr.Rottal-Inn
127;1339;73;52.9157;10.1885;Faßberg
128;1341;0;54.6;11.15;Fehmarnbelt
129;1346;1489.6;47.8749;8.0038;Feldberg/Schwarzwald
130;1357;654;49.9807;11.8376;Fichtelberg/Oberfranken-Hüttstadl
131;1358;1213;50.4283;12.9535;Fichtelberg
132;1374;363;50.5049;10.1671;Fladungen-Heufurt
133;1392;622;49.7317;12.3491;Flossenbürg
134;1411;745;50.5309;10.048;Birx/Rhön
135;1420;99.7;50.0259;8.5213;Frankfurt/Main
136;1424;124;50.1269;8.6694;Frankfurt/Main-Westend
137;1426;65;52.3397;14.508;Frankfurt/Oder
138;1440;481;48.2018;7.9336;Freiamt-Ottoschwanden
139;1441;416;50.9263;13.2711;Freiberg
140;1443;236.3;48.0233;7.8344;Freiburg
141;1451;2;53.8277;9.2493;Freiburg/Elbe
142;1468;796.5;48.4537;8.4091;Freudenstadt
143;1473;436;49.178;11.3735;Freystadt-Oberndorf
144;1503;5.7;53.0643;7.9022;Friesoythe-Altenoythe
145;1504;172;51.119;9.2799;Fritzlar (Flugplatz)
146;1526;242;50.5668;9.6533;Fulda-Horas
147;1544;47;52.5129;11.3941;Gardelegen
148;1550;719;47.4831;11.0623;Garmisch-Partenkirchen
149;1580;110.2;49.9859;7.9549;Geisenheim
150;1584;672;47.9242;8.6473;Geisingen
151;1587;536;48.9481;11.4289;Gelbelsee
152;1590;37;51.4942;6.2463;Geldern-Walbeck
153;1602;176;48.4329;7.9931;Ohlsbach
154;1605;35;52.3875;12.1601;Genthin
155;1612;311;50.8813;12.1289;Gera-Leumnitz
156;1619;90;49.7611;8.4876;Gernsheim
157;1621;550;50.2766;9.9146;Geroda-Platz
158;1639;202.7;50.6017;8.6439;Gießen/Wettenberg
159;1645;340;50.9656;9.05;Gilserberg-Moischeid
160;1666;27;54.8273;9.5057;Glücksburg-Meierwik
161;1667;1;53.797;9.4295;Glückstadt
162;1684;238;51.1622;14.9506;Görlitz
163;1689;443;49.7656;11.3061;Gößweinstein
164;1691;167;51.5003;9.9506;Göttingen
165;1694;58;53.606;12.1033;Goldberg
166;1721;506;49.664;11.2239;Gräfenberg-Kasberg
167;1735;628;48.7893;13.6291;Grainet-Rehberg
168;1736;27;53.5731;10.6797;Grambek
169;1757;2;54.0967;13.4056;Greifswald
170;1759;12;54.2437;13.9102;Greifswalder Oie
171;1766;47.8;52.1344;7.6969;Münster/Osnabrück
172;1803;34;54.0714;12.3238;Groß Lüsewitz
173;1832;1436;49.113;13.1342;Großer Arber
174;1844;517;47.941;11.9;Feldkirchen-Westerham-Lenzmühle
175;1863;258;50.2667;9.1854;Gründau-Breitenborn
176;1869;55.9;53.3153;13.9338;Grünow
177;1957;93;51.5138;11.9499;Halle-Kröllwitz
178;1964;328;49.9445;6.3821;Olsdorf
179;1975;11;53.6332;9.9881;Hamburg-Fuhlsbüttel
180;1981;3;53.4777;9.8957;Hamburg-Neuwiedenthal
181;2005;108;52.7199;10.5987;Hankensbüttel
182;2014;55;52.4644;9.6779;Hannover
183;2023;501.9;48.7918;10.7062;Harburg
184;2044;404;51.652;11.1367;Harzgerode
185;2074;522;48.3751;8.9801;Hechingen
186;2080;110;49.4206;8.6676;Heidelberg
187;2110;57;51.0411;6.1042;Heinsberg-Schleiden
188;2115;4;54.175;7.892;Helgoland
189;2159;430;48.5915;8.8541;Herrenberg
190;2167;302;49.7672;7.3356;Niederwörresbach
191;2171;272.2;50.8519;9.7378;Hersfeld, Bad
192;2174;238;51.6255;10.3695;Herzberg
193;2201;1;54.575;13.1044;Hiddensee-Vitte
194;2211;295;50.7371;7.6528;Hilgenroth
195;2252;270;50.899;14.7457;Bertsdorf-Hörnitz
196;2261;565.1;50.3122;11.8761;Hof
197;2268;263;50.1352;10.5156;Hofheim
198;2290;977;47.8009;11.0108;Hohenpeißenberg
199;2303;10;54.3146;9.539;Hohn
200;2306;8;54.3194;10.6732;Hohwacht
201;2315;81;51.7657;13.1666;Holzdorf (Flugplatz)
202;2319;685;47.8823;11.6962;Holzkirchen
203;2323;110;51.8529;9.4953;Bevern, Kr. Holzminden
204;2331;235;49.3278;7.3533;Homburg/Saar
205;2362;328;50.5651;7.4843;Hümmerich
206;2385;376;49.6927;7.3264;Idar-Oberstein
207;2388;193;48.0419;7.6322;Ihringen
208;2409;360;48.7662;11.4539;Ingolstadt (Flussmeisterstelle)
209;2410;364;48.7112;11.5362;Ingolstadt (Flugplatz)
210;2429;21;53.9897;9.5696;Itzehoe
211;2437;21.3;54.457;9.5203;Schleswig-Jagel
212;2444;155;50.9251;11.583;Jena (Sternwarte)
213;2475;75;52.0006;13.1022;Jüterbog
214;2480;107;50.0643;8.993;Kahl/Main
215;2483;839;51.1803;8.4891;Kahler Asten
216;2485;488.7;48.9171;9.6872;Kaisersbach-Cronhütte
217;2486;271;49.4262;7.7557;Kaiserslautern
218;2494;31;51.7329;6.2688;Kalkar
219;2497;505;50.5014;6.5264;Kall-Sistig
220;2502;447;51.3176;10.1355;Heiligenstadt, Heilbad-Kalteneber
221;2532;231;51.2963;9.4424;Kassel
222;2542;716;47.8652;10.6007;Kaufbeuren
223;2546;141;48.5576;7.88;Kehl-Odelshofen
224;2559;705.2;47.7233;10.3348;Kempten
225;2564;27;54.3761;10.1433;Kiel-Holtenau
226;2575;426;49.1804;9.98;Kirchberg/Jagst-Herboldshausen
227;2578;12;53.9995;11.4341;Kirchdorf/Poel
228;2597;281.8;50.2241;10.0792;Kissingen, Bad
229;2600;188;49.7363;10.1781;Kitzingen
230;2601;825.6;50.2218;8.4469;Kleiner Feldberg/Taunus
231;2618;732;50.8458;10.4803;Kleiner Inselsberg
232;2621;42;52.4036;13.2319;Kleinmachnow
233;2627;128;51.5554;13.8846;Klettwitz
234;2629;46;51.7612;6.0954;Kleve
235;2638;973.4;48.1054;8.7549;Klippeneck
236;2641;85;51.5185;12.9065;Klitzschen bei Torgau
237;2667;92;50.8646;7.1575;Köln-Bonn
238;2680;288;50.284;10.4456;Königshofen, Bad
239;2689;40;53.2279;9.6527;Königsmoor
240;2700;416;48.8302;11.4872;Kösching
241;2704;76;51.7511;12.0094;Köthen (Anhalt)
242;2708;740;47.6652;11.0804;Kohlgrub, Bad (Rosshof)
243;2712;442.5;47.6774;9.1901;Konstanz
244;2750;312;50.2523;11.3209;Kronach
245;2773;417;49.4283;11.9016;Kümmersbruck
246;2794;40;52.9363;12.4093;Kyritz
247;2796;40;53.9156;12.279;Laage (Flugplatz)
248;2812;155;48.3647;7.828;Lahr
249;2814;685;48.5121;9.7645;Merklingen
250;2829;621;48.0772;10.9144;Landsberg (Flugplatz)
251;2856;91;51.9173;13.0878;Langenlipsdorf
252;2886;539;48.2176;9.9097;Laupheim
253;2905;550;48.1849;10.8507;Lechfeld
254;2907;7;54.7903;8.9514;Leck
255;2925;356;51.3933;10.3123;Leinefelde
256;2928;138;51.3151;12.4462;Leipzig-Holzhausen
257;2932;131;51.4348;12.2396;Leipzig/Halle
258;2947;286;51.1333;8.0348;Lennestadt-Theten
259;2951;20;53.1007;11.4864;Lenzen/Elbe
260;2961;30.8;54.4996;10.2737;Leuchtturm Kiel
261;2968;43;50.9894;6.9777;Köln-Stammheim
262;2985;321;50.9383;14.2093;Lichtenhain-Mittelndorf
263;2996;352;48.7726;8.7287;Liebenzell, Bad (LUBW)
264;3015;98;52.2085;14.118;Lindenberg
265;3023;22;52.5181;7.3081;Lingen
266;3028;157;51.7855;8.8388;Lippspringe, Bad
267;3031;92;51.6336;8.3945;Lippstadt-Bökenförde
268;3032;26.2;55.011;8.4125;List auf Sylt
269;3034;500;50.4505;11.635;Lobenstein, Bad
270;3042;230;50.5617;8.2386;Löhnberg-Obershausen
271;3044;22;52.7198;7.7472;Löningen
272;3083;57;51.9267;13.8797;Lübben-Blumenfelde
273;3086;15.5;53.8025;10.6988;Lübeck-Blankensee
274;3093;17;52.9724;11.1374;Lüchow
275;3098;386.7;51.2452;7.6425;Lüdenscheid
276;3113;528;50.7663;10.7201;Luisenthal (Talsperre)
277;3126;76;52.1029;11.5827;Magdeburg
278;3137;195;49.9656;8.2139;Mainz-Lerchenberg (ZDF)
279;3147;418;48.7726;12.2177;Mallersdorf-Pfaffenberg/Niederbayern
280;3155;413;50.1015;6.8009;Manderscheid-Sonnenhof
281;3158;12;52.5468;14.5452;Manschnow
282;3164;187;50.8492;8.7746;Cölbe, Kr. Marburg-Biedenkopf
283;3166;639;50.651;13.1469;Marienberg
284;3167;546.6;50.662;7.9602;Marienberg, Bad
285;3170;5;54.4937;11.2405;Marienleuchte
286;3196;81;53.3223;11.9319;Marnitz
287;3204;427;50.7334;10.8815;Martinroda
288;3211;1011;48.9359;13.5747;Mauth-Finsterau
289;3226;107;51.7259;11.5111;Aschersleben-Mehringen
290;3231;450;50.5612;10.3771;Meiningen
291;3234;157;51.1294;13.4327;Garsebach bei Meißen
292;3236;89;52.2044;8.3382;Melle
293;3244;615;47.982;10.1384;Memmingen
294;3254;19;52.7156;7.3176;Meppen
295;3257;250;49.4773;9.7622;Mergentheim, Bad-Neunkirchen
296;3268;920;48.1875;8.9938;Meßstetten
297;3271;313;48.8548;12.9187;Metten
298;3278;355;48.5376;9.2733;Metzingen
299;3284;240;49.6691;9.0085;Michelstadt
300;3287;453;49.7176;9.0997;Michelstadt-Vielbrunn
301;3289;355;50.7281;11.7838;Schmieritz-Weltwitz
302;3291;128;49.712;9.2258;Miltenberg
303;3307;981;47.4779;11.2653;Mittenwald-Buckelwiesen
304;3319;239;49.7644;9.253;Röllbach
305;3340;265;50.4383;7.8061;Montabaur
306;3348;240;51.7209;9.8352;Moringen-Lutterbeck
307;3362;244;48.9721;8.8734;Mühlacker
308;3366;405.6;48.2791;12.5024;Mühldorf
309;3376;63;52.5176;14.1232;Müncheberg
310;3379;515.2;48.1631;11.5429;München-Stadt
